"","name","iso","c","y","Region","var","latest","Circumstances","Gini","MLD","Sample","Gini_trees_exante","MLD_trees_exante","Gini_trees_exante_rel","MLD_trees_exante_rel","Gini_rforest_exante","MLD_rforest_exante","Gini_rforest_exante_rel","MLD_rforest_exante_rel","abs_gini_deb","sd_abs_gini_deb","rel_gini_deb","sd_rel_gini_deb","Gini_trees_expost","MLD_trees_expost","Gini_trees_expost_rel","MLD_trees_expost_rel"
"1","Argentina","ARG","ARG","2014","LATAM","Income",1,"all",0.3884,0.2759,6632,0.167,0.0438,42.9969104016478,15.8753171438927,0.1786,0.0499,45.9835221421215,18.0862631388184,0.162,0.0084,41.72,1.76,0.1773,0.0506,45.648815653965,18.3399782529902
"2","Armenia","ARM","ARM","2016","Asia + Oceania","Income",1,"all",0.4695,0.4059,1221,0.1783,0.0593,37.9765708200213,14.6095097314609,0.2121,0.0813,45.1757188498403,20.029563932003,0.1735,0.1338,36.91,21.92,0.2343,0.3464,49.9041533546326,85.3412170485341
"3","Australia","AUS","AUS","2005","Asia + Oceania","Income",0,"all",0.3367,0.1941,5684,0.0773,0.0098,22.958122958123,5.0489438433797,0.0894,0.0125,26.5518265518266,6.43997939206595,0.0698,0.0087,20.71,2.3,0.0547,0.0057,16.2459162459162,2.93663060278207
"4","Australia","AUS","AUS","2007","Asia + Oceania","Income",0,"all",0.3439,0.2042,5778,0.0787,0.0101,22.8845594649607,4.94613124387855,0.0951,0.0141,27.6533876126781,6.90499510284035,0.0802,0.0106,23.33,2.67,0.0643,0.0099,18.6972957255016,4.84818805093046
"5","Australia","AUS","AUS","2009","Asia + Oceania","Income",0,"all",0.3255,0.1874,6137,0.0563,0.0055,17.2964669738863,2.93489861259338,0.0807,0.0102,24.7926267281106,5.44290288153682,0.0599,0.0098,18.41,2.73,0.0844,0.0281,25.9293394777266,14.9946638207044
"6","Australia","AUS","AUS","2011","Asia + Oceania","Income",0,"all",0.3311,0.1902,8184,0.0733,0.0087,22.1383267894896,4.57413249211356,0.0873,0.0118,26.3666565992147,6.20399579390116,0.0699,0.0059,21.1,1.63,0.0651,0.0073,19.661733615222,3.83806519453207
"7","Australia","AUS","AUS","2013","Asia + Oceania","Income",0,"all",0.3309,0.1903,8398,0.0584,0.0065,17.6488365064974,3.41565948502365,0.0795,0.01,24.0253853127833,5.25486074619023,0.0601,0.0061,18.16,1.7,0.0684,0.0087,20.6708975521306,4.5717288491855
"8","Australia","AUS","AUS","2015","Asia + Oceania","Income",0,"all",0.3346,0.1923,8625,0.0717,0.0091,21.4285714285714,4.7321892875715,0.0884,0.0123,26.4196054991034,6.39625585023401,0.0714,0.0065,21.35,1.72,0.073,0.0084,21.8170950388524,4.36817472698908
"9","Australia","AUS","AUS","2017","Asia + Oceania","Income",0,"all",0.3457,0.2074,8830,0.0709,0.0089,20.5091119467747,4.29122468659595,0.0912,0.0131,26.3812554237778,6.31629701060752,0.0685,0.0076,19.82,1.98,0.0875,0.0238,25.3109632629447,11.4754098360656
"10","Australia","AUS","AUS","2019","Asia + Oceania","Income",1,"all",0.3531,0.2168,8934,0.0806,0.0105,22.8263947890116,4.84317343173432,0.0942,0.0136,26.677994902294,6.27306273062731,0.0759,0.0071,21.5,1.78,0.0814,0.013,23.0529595015576,5.99630996309963
"11","Austria","AUT","AT","2005","Europe","Income",0,"all",0.2724,0.134,5424,0.089,0.0148,32.6725403817915,11.044776119403,0.0995,0.0165,36.5271659324523,12.3134328358209,0.1062,0.0042,38.96,1.44,0.0965,0.0166,35.4258443465492,12.3880597014925
"12","Austria","AUT","AT","2011","Europe","Income",0,"all",0.2757,0.1397,6446,0.0881,0.0137,31.9550235763511,9.8067287043665,0.0914,0.0142,33.151976786362,10.1646385110952,0.0487,0.0041,17.65,1.72,0.089,0.0148,32.2814653608995,10.5941302791697
"13","Austria","AUT","AT","2019","Europe","Income",1,"all",0.2804,0.1555,5726,0.0957,0.0167,34.1298145506419,10.7395498392283,0.0988,0.016,35.2353780313837,10.2893890675241,0.066,0.0056,23.54,2.05,0.0908,0.0157,32.3823109843081,10.096463022508
"14","Belgium","BEL","BE","2005","Europe","Income",0,"all",0.2604,0.1222,2386,0.1067,0.0201,40.9754224270353,16.4484451718494,0.1119,0.0206,42.9723502304147,16.8576104746317,0.1157,0.0078,44.4,2.42,0.0916,0.0168,35.1766513056836,13.7479541734861
"15","Belgium","BEL","BE","2011","Europe","Income",0,"all",0.2562,0.1253,4846,0.0892,0.0164,34.8165495706479,13.0885873902634,0.1056,0.0203,41.2177985948478,16.2011173184357,0.1155,0.0108,45.07,3.29,0.1388,0.0354,54.176424668228,28.2521947326417
"16","Belgium","BEL","BE","2019","Europe","Income",1,"all",0.2428,0.1064,7055,0.0966,0.0179,39.7858319604613,16.8233082706767,0.1041,0.0191,42.8747940691928,17.9511278195489,0.103,0.0033,42.41,1.32,0.1071,0.0214,44.1103789126853,20.1127819548872
"17","Benin","BEN","BEN","2018","Africa","Consumption",1,"all",0.3483,0.1988,14338,0.14,0.0361,40.1952339936836,18.158953722334,0.1296,0.032,37.2093023255814,16.0965794768612,0.1401,0.0044,40.23,1.09,0.1325,0.0331,38.0419178868791,16.6498993963783
"18","Burkina Faso","BFA","BFA","2018","Africa","Consumption",1,"all",0.3792,0.2351,12925,0.1232,0.0424,32.4894514767932,18.0348787749894,0.0934,0.0247,24.6308016877637,10.5061675882603,0.1248,0.0061,32.91,1.45,0.0991,0.0235,26.1339662447257,9.99574649085496
"19","Bulgaria","BGR","BG","2011","Europe","Income",0,"all",0.328,0.1959,6633,0.1473,0.0356,44.9085365853658,18.1725370086779,0.1468,0.0339,44.7560975609756,17.3047473200613,0.1898,0.0047,57.85,1.37,0.1573,0.0405,47.9573170731707,20.6738131699847
"20","Bulgaria","BGR","BG","2019","Europe","Income",1,"all",0.4065,0.2964,7025,0.222,0.0806,54.6125461254613,27.1929824561403,0.198,0.0619,48.7084870848709,20.8839406207827,0.2803,0.009,68.94,1.32,0.19,0.0583,46.740467404674,19.6693657219973
"21","Bolivia","BOL","BOL","2008","LATAM","Income",1,"all",0.4999,0.5048,4197,0.2781,0.1311,55.631126225245,25.9706814580032,0.2938,0.1442,58.7717543508702,28.5657686212361,0.2881,0.0121,57.61,1.77,0.3405,0.2375,68.1136227245449,47.0483359746434
"22","Brazil","BRA","BRA","2014","LATAM","Income",1,"all",0.4875,0.4266,41031,0.3218,0.1652,66.0102564102564,38.7248007501172,0.3203,0.1626,65.7025641025641,38.1153305203938,0.3275,0.0036,67.18,0.45,0.3393,0.1913,69.6,44.8429442100328
"23","Switzerland","CHE","CH","2011","Europe","Income",0,"all",0.2803,0.137,6512,0.0836,0.0119,29.8251872993221,8.68613138686131,0.0934,0.0143,33.3214413128791,10.4379562043796,0.0513,0.0059,18.3,2.26,0.0744,0.009,26.5429896539422,6.56934306569343
"24","Switzerland","CHE","CH","2019","Europe","Income",1,"all",0.2832,0.1454,5782,0.0843,0.0111,29.7669491525424,7.63411279229711,0.0933,0.0147,32.9449152542373,10.1100412654745,0.0618,0.0071,21.8,3.32,0.0735,0.0094,25.9533898305085,6.46492434662999
"25","Chile","CHL","CHL","2006","LATAM","Income",0,"all",0.5184,0.4725,97558,0.2686,0.1141,51.8132716049383,24.1481481481481,0.2699,0.115,52.0640432098765,24.3386243386243,0.2686,0.0065,51.8132716049383,2.3,0.3288,0.215,63.4259259259259,45.5026455026455
"26","Chile","CHL","CHL","2011","LATAM","Income",0,"all",0.5142,0.4641,64756,0.2844,0.1274,55.3092182030338,27.4509803921569,0.2713,0.1155,52.7615713730066,24.8868778280543,0.2844,0.0014,55.3092182030338,7.4,0.305,0.1737,59.315441462466,37.4272786037492
"27","Chile","CHL","CHL","2013","LATAM","Income",0,"all",0.507,0.452,68473,0.2652,0.11,52.3076923076923,24.3362831858407,0.2486,0.0963,49.0335305719921,21.3053097345133,0.2653,0.0085,52.32741617357,4.5,0.2786,0.1578,54.9506903353057,34.9115044247788
"28","Chile","CHL","CHL","2015","LATAM","Income",1,"all",0.492,0.4577,88309,0.2388,0.0889,48.5365853658537,19.4232029713786,0.2477,0.0954,50.3455284552846,20.8433471706358,0.2388,0.0078,48.5365853658537,4.5,0.3088,0.2321,62.7642276422764,50.7100720996286
"29","China","CHN","CHI","2010","Asia + Oceania","Income",0,"all",0.4961,0.4752,17402,0.2033,0.0683,40.9796412013707,14.3728956228956,0.2272,0.0824,45.7972183027615,17.3400673400673,0.2101,0.0096,42.36,1.56,0.2661,0.1331,53.6383793590002,28.0092592592593
"30","China","CHN","CHI","2012","Asia + Oceania","Income",0,"all",0.5033,0.5573,21694,0.1719,0.0523,34.1545797734949,9.3845325677373,0.1755,0.0522,34.869858931055,9.36658891082003,0.1908,0.0249,35.11,3.81,0.2183,0.1242,43.3737333598252,22.2860218912614
"31","China","CHN","CHI","2014","Asia + Oceania","Income",0,"all",0.4832,0.5256,16981,0.1742,0.0532,36.0513245033112,10.1217656012177,0.1965,0.0663,40.6663907284768,12.6141552511416,0.1812,0.0172,37.5,2.74,0.2073,0.1037,42.9014900662252,19.7298325722983
"32","China","CHN","CHI","2016","Asia + Oceania","Income",0,"all",0.5186,0.512,17188,0.1649,0.0503,31.7971461627459,9.82421875,0.2046,0.067,39.4523717701504,13.0859375,0.172,0.0216,33.16,3.33,0.2934,0.2089,56.5753952950251,40.80078125
"33","China","CHN","CHI","2018","Asia + Oceania","Income",1,"all",0.4972,0.4585,15915,0.1939,0.0615,38.9983909895414,13.4133042529989,0.2194,0.076,44.1271118262269,16.5757906215922,0.1789,0.0158,35.98,2.54,0.2925,0.1721,58.8294448913918,37.5354416575791
"34","Ivory Coast","CIV","CIV","2018","Africa","Consumption",1,"all",0.3251,0.1726,17069,0.1233,0.0282,37.9267917563826,16.3383545770568,0.1025,0.0217,31.5287603814211,12.5724217844728,0.1222,0.0033,37.59,0.92,0.1012,0.0195,31.128883420486,11.297798377752
"35","Colombia","COL","COL","2010","LATAM","Income",1,"all",0.5352,0.5471,25924,0.2452,0.1008,45.8146487294469,18.4244196673369,0.257,0.1063,48.0194319880419,19.42972034363,0.2487,0.005,46.47,0.8,0.3328,0.252,62.1823617339312,46.0610491683422
"36","Cyprus","CYP","CY","2005","Europe","Income",0,"all",0.2971,0.1533,7015,0.1206,0.0269,40.592393133625,17.5472928897586,0.1277,0.0279,42.9821608885897,18.1996086105675,0.1481,0.0056,49.85,1.38,0.1347,0.0317,45.3382699427802,20.6784083496412
"37","Cyprus","CYP","CY","2011","Europe","Income",0,"all",0.2846,0.1423,5086,0.0954,0.0166,33.5207308503162,11.6654954321855,0.1034,0.0185,36.3316936050597,13.0007027406887,0.1285,0.0062,45.15,2.25,0.1107,0.0223,38.8966971187632,15.671117357695
"38","Cyprus","CYP","CY","2019","Europe","Income",1,"all",0.3147,0.169,5515,0.1573,0.0405,49.984111852558,23.9644970414201,0.1603,0.0413,50.9374006990785,24.4378698224852,0.1592,0.0073,50.59,2,0.1714,0.0489,54.4645694312043,28.9349112426036
"39","Czech Rep.","CZE","CZ","2005","Europe","Income",0,"all",0.2682,0.1238,6382,0.0915,0.0144,34.1163310961969,11.6316639741519,0.0923,0.0141,34.4146159582401,11.389337641357,0.1109,0.0044,41.33,1.35,0.0873,0.0126,32.5503355704698,10.1777059773829
"40","Czech Rep.","CZE","CZ","2011","Europe","Income",0,"all",0.2573,0.1167,6722,0.0803,0.0103,31.2087057909056,8.82604970008569,0.0773,0.0094,30.0427516517684,8.05484147386461,0.1201,0.0039,46.67,1.33,0.0677,0.0073,26.3116984065293,6.25535561268209
"41","Czech Rep.","CZE","CZ","2019","Europe","Income",1,"all",0.2393,0.0987,8300,0.0752,0.009,31.4249895528625,9.11854103343465,0.0791,0.0098,33.0547430004179,9.9290780141844,0.0927,0.0033,38.72,1.32,0.0731,0.0083,30.5474300041788,8.40932117527862
"42","Germany","DEU","DE","2005","Europe","Income",0,"all",0.3041,0.1623,8257,0.1314,0.0302,43.2094705688918,18.607516943931,0.1392,0.032,45.7744163104242,19.7165742452249,0.1281,0.0039,42.11,1.24,0.1509,0.0402,49.6218349227228,24.7689463955638
"43","Germany","DEU","DE","2011","Europe","Income",0,"all",0.275,0.1397,9825,0.082,0.025,29.81828,17.89555,0.0931,0.0201,33.8545,14.3888,0.0931,0.0039,33.85,2.07,0.0913,0.0142,33.25648,10.1646
"44","Germany","DEU","DE","2019","Europe","Income",1,"all",0.2786,0.1382,7354,0.0803,0.011,28.8226848528356,7.95947901591896,0.0873,0.0123,31.335247666906,8.90014471780029,0.0493,0.0051,17.7,2.31,0.0738,0.0092,26.4895908111988,6.65701881331404
"45","Denmark","DNK","DK","2005","Europe","Income",0,"all",0.2864,0.1425,2100,0.1539,0.0525,53.7360335195531,36.8421052631579,0.1387,0.0373,48.4287709497207,26.1754385964912,0.0192,0.0106,6.72,7.11,0.1469,0.0452,51.2918994413408,31.719298245614
"46","Denmark","DNK","DK","2011","Europe","Income",0,"all",0.2572,0.1238,2153,0.0375,0.0034,14.5800933125972,2.74636510500808,0.0486,0.0042,18.895800933126,3.39256865912763,0.0655,0.0087,25.45,3.41,0.0375,0.0035,14.5800933125972,2.82714054927302
"47","Denmark","DNK","DK","2019","Europe","Income",1,"all",0.2684,0.1425,2677,0.0561,0.0055,20.9016393442623,3.85964912280702,0.0722,0.008,26.9001490312966,5.6140350877193,0.0506,0.0084,18.85,3.21,0.057,0.0052,21.2369597615499,3.64912280701754
"48","Ecuador","ECU","ECU","2006","LATAM","Income",0,"all",0.5204,0.5413,25465,0.295,0.1435,56.6871637202152,26.5102530944024,0.2921,0.1375,56.1299000768639,25.4018104563089,0.3003,0.0048,57.71,0.71,0.3469,0.2327,66.6602613374327,42.9891003140588
"49","Ecuador","ECU","ECU","2014","LATAM","Income",1,"all",0.455,0.3768,51007,0.227,0.081,49.8901098901099,21.4968152866242,0.2289,0.0822,50.3076923076923,21.8152866242038,0.23,0.0033,50.55,0.57,0.273,0.1421,60,37.7123142250531
"50","Spain","ESP","ES","2005","Europe","Income",0,"all",0.3118,0.1862,20165,0.104,0.0175,33.3547145606158,9.3984962406015,0.1119,0.0201,35.8883899935856,10.7948442534909,0.1271,0.0026,40.77,0.91,0.111,0.0205,35.5997434252726,11.0096670247046
"51","Spain","ESP","ES","2011","Europe","Income",0,"all",0.3285,0.203,15624,0.1341,0.0296,40.8219178082192,14.5812807881773,0.1279,0.0275,38.9345509893455,13.5467980295566,0.132,0.0033,40.17,1.04,0.1384,0.0328,42.130898021309,16.1576354679803
"52","Spain","ESP","ES","2019","Europe","Income",1,"all",0.329,0.2111,19315,0.151,0.0376,45.8966565349544,17.8114637612506,0.1453,0.0355,44.1641337386018,16.816674561819,0.1616,0.0027,49.1,1.01,0.159,0.0448,48.3282674772037,21.222169587873
"53","Estonia","EST","EE","2005","Europe","Income",0,"all",0.3347,0.204,6865,0.0873,0.0137,26.0830594562295,6.7156862745098,0.0952,0.0145,28.4433821332537,7.1078431372549,0.1484,0.0048,44.32,1.39,0.0766,0.0111,22.8861667164625,5.44117647058824
"54","Estonia","EST","EE","2011","Europe","Income",0,"all",0.3211,0.1972,5070,0.0836,0.012,26.0355029585799,6.08519269776876,0.0895,0.0128,27.8729367798194,6.49087221095335,0.1478,0.0049,46.02,1.72,0.0714,0.0084,22.2360635316101,4.25963488843813
"55","Estonia","EST","EE","2019","Europe","Income",1,"all",0.2804,0.1505,6715,0.0724,0.0087,25.8202567760342,5.78073089700997,0.0831,0.0107,29.6362339514979,7.10963455149502,0.1222,0.0034,43.58,1.35,0.0814,0.0112,29.0299572039943,7.44186046511628
"56","Finland","FIN","FI","2005","Europe","Income",0,"all",0.2708,0.1318,8402,0.0895,0.0148,33.0502215657312,11.2291350531108,0.108,0.0214,39.8818316100443,16.236722306525,0.0284,0.0071,10.5,4.41,0.1206,0.0345,44.5347119645495,26.1760242792109
"57","Finland","FIN","FI","2011","Europe","Income",0,"all",0.2662,0.13,3442,0.0417,0.0031,15.6649135987979,2.38461538461539,0.064,0.0077,24.0420736288505,5.92307692307692,0.049,0.0104,18.41,4.86,0.0537,0.0078,20.1728024042074,6
"58","Finland","FIN","FI","2019","Europe","Income",1,"all",0.2867,0.143,6229,0.092,0.0142,32.0892919427974,9.93006993006993,0.1094,0.0191,38.1583536798047,13.3566433566434,0.0445,0.0062,15.53,3.05,0.0935,0.0139,32.6124869201256,9.72027972027972
"59","France","FRA","FR","2005","Europe","Income",0,"all",0.2699,0.1235,12254,0.0939,0.0164,34.7906632085958,13.2793522267207,0.1076,0.02,39.866617265654,16.1943319838057,0.0881,0.003,32.63,1.15,0.1038,0.0188,38.4586884031123,15.2226720647773
"60","France","FRA","FR","2011","Europe","Income",0,"all",0.2951,0.1546,10436,0.0934,0.0149,31.6502880379532,9.63777490297542,0.1064,0.0188,36.0555743815656,12.1604139715395,0.1039,0.0056,35.21,1.96,0.0991,0.0245,33.5818366655371,15.8473479948254
"61","France","FRA","FR","2019","Europe","Income",1,"all",0.2865,0.1449,10114,0.1114,0.0202,38.8830715532286,13.9406487232574,0.1229,0.0279,42.8970331588133,19.2546583850932,0.1241,0.0134,43.33,5.6,0.1185,0.0247,41.3612565445026,17.0462387853692
"62","United Kingdom","GBR","UK","2005","Europe","Income",0,"all",0.3127,0.1762,4046,0.0843,0.0116,26.9587464023025,6.58342792281498,0.1213,0.0275,38.7911736488647,15.6072644721907,0.0944,0.0084,30.18,4.71,0.1135,0.0296,36.296770067157,16.7990919409762
"63","United Kingdom","GBR","UK","2011","Europe","Income",1,"all",0.3237,0.1867,5952,0.076,0.0106,23.4785295026259,5.67755757900375,0.0955,0.0147,29.5026258881681,7.87359400107124,0.087,0.0076,26.87,2.29,0.0869,0.0159,26.8458449181341,8.51633636850563
"64","Georgia","GEO","GEO","2016","Asia + Oceania","Income",1,"all",0.4911,0.4271,1317,0.1339,0.0447,27.2653227448585,10.4659330367595,0.2079,0.0691,42.3335369578497,16.178880824163,0.1511,0.0686,30.75,11.54,0.1284,0.0315,26.1453879047037,7.37532193865605
"65","Ghana","GHA","GHA","2013","Africa","Consumption",0,"all",0.423,0.3104,30182,0.1771,0.0547,41.8676122931442,17.6224226804124,0.1928,0.0627,45.5791962174941,20.1997422680412,0.1819,0.0041,42.99,0.8,0.2073,0.0736,49.0070921985816,23.7113402061856
